epoch,g_loss,d_loss,d_acc_real,d_acc_fake,d_acc_total,tau
1,0.7140926821342367,1.307631067092845,0.6856374172185431,0.9813741721854304,0.8335057947019867,0.9833333333333333
2,0.7119915611696559,1.1349906439812767,0.8489238410596026,0.5519453642384106,0.7004346026490066,0.9666666666666667
3,1.4118148455556654,0.6767819958017361,0.9451572847682119,0.9971026490066225,0.9711299668874173,0.95
4,1.468811364363361,0.4142534951895278,0.9997930463576159,0.9975165562913907,0.9986548013245033,0.9333333333333333
5,2.0567334945628186,0.20251936914510285,1.0,0.9981374172185431,0.9990687086092715,0.9166666666666666
6,2.6885609184669343,0.09978292043635387,1.0,0.9995860927152318,0.9997930463576159,0.9
7,3.2949680682049682,0.0517876608334235,1.0,0.9997930463576159,0.999896523178808,0.8833333333333333
8,3.833157760418014,0.030155954315074233,1.0,0.9995860927152318,0.9997930463576159,0.8666666666666667
9,4.103321536487301,0.05349736479388562,1.0,0.9939983443708609,0.9969991721854304,0.85
10,4.485089703111459,0.024420516793646953,1.0,0.9991721854304636,0.9995860927152318,0.8333333333333334
11,5.16352650345556,0.011653426707728414,1.0,0.9997930463576159,0.999896523178808,0.8166666666666667
12,5.037914260333737,0.010578556418024151,1.0,0.9997930463576159,0.999896523178808,0.8
13,5.1159419887113255,0.00844482174883319,1.0,1.0,1.0,0.7833333333333333
14,5.522333817766202,0.006038173243699484,1.0,0.9997930463576159,0.999896523178808,0.7666666666666666
15,5.774607869962983,0.0051401678506679685,1.0,0.9995860927152318,0.9997930463576159,0.75
16,5.258124308870328,0.020210676388630014,1.0,0.9981374172185431,0.9990687086092715,0.7333333333333334
17,5.784340078467565,0.009087183125724164,1.0,0.9991721854304636,0.9995860927152318,0.7166666666666667
18,6.803720568979023,0.003289941849421389,1.0,1.0,1.0,0.7
19,7.5004874949423685,0.0020511445577028175,1.0,0.9997930463576159,0.999896523178808,0.6833333333333333
20,7.881195949402866,0.0018812582869736465,1.0,0.9995860927152318,0.9997930463576159,0.6666666666666667
21,8.189134973563895,0.0018294982988748157,1.0,0.9997930463576159,0.999896523178808,0.65
22,6.63867257920322,0.0025146580732964127,1.0,0.9997930463576159,0.999896523178808,0.6333333333333333
23,6.73419235873696,0.0020739127194126512,1.0,1.0,1.0,0.6166666666666667
24,7.1168254511245825,0.0015785187484375787,1.0,1.0,1.0,0.6
25,7.4259328494798265,0.0014671078267883486,1.0,0.9997930463576159,0.999896523178808,0.5833333333333333
26,7.54534841689053,0.001654107061936366,1.0,0.9997930463576159,0.999896523178808,0.5666666666666667
27,7.578309311772024,0.0013119238706317958,1.0,0.9997930463576159,0.999896523178808,0.55
28,7.316207481535855,0.002072225964322859,1.0,1.0,1.0,0.5333333333333333
29,7.481924486476064,0.00165705931363689,1.0,1.0,1.0,0.5166666666666666
30,7.691238153849216,0.002035853367018211,1.0,0.9997930463576159,0.999896523178808,0.5
